,YearStart,YearEnd,LocationAbbr,LocationDesc,StratificationCategory1,Stratification1,StratificationCategoryID1,StratificationID1,LocationID,OverweightValue,ObeseValue,TvValue,SodaValue,VegetableValue,FruitValue,PhysicalActivityValue,PhysicalEducationValue
62,2005,2005,US,National,Race/Ethnicity,Asian,RACE,RACEASN,59,14.8,8.2,32.2,15.0,37.9,39.8,16.0,13.9
64,2013,2013,MD,Maryland,Gender,Female,GEN,FEMALE,24,14.7,12.5,30.4,27.0,36.3,37.9,25.1,24.2
65,2001,2001,US,National,Race/Ethnicity,Hispanic,RACE,RACEHIS,59,17.8,12.1,25.1,18.1,42.1,42.2,13.9,19.7
68,2007,2007,US,National,Race/Ethnicity,Asian,RACE,RACEASN,59,14.2,10.9,23.3,17.5,45.2,40.2,22.8,21.9
72,2009,2009,US,National,Grade,11th,GRADE,GRADE11,59,17.1,12.2,28.6,26.4,42.3,43.8,18.3,24.7
74,2015,2015,WV,West Virginia,Gender,Female,GEN,FEMALE,54,13.9,8.7,22.7,24.4,35.7,40.0,26.2,18.4
78,2007,2007,AR,Arkansas,Total,Total,OVR,OVERALL,5,10.8,15.4,21.3,32.9,25.0,31.3,22.2,25.4
79,2017,2017,ME,Maine,Grade,11th,GRADE,GRADE11,23,16.0,12.7,16.7,10.2,37.8,38.9,22.3,8.7
81,2017,2017,CT,Connecticut,Total,Total,OVR,OVERALL,9,15.6,13.3,28.1,20.2,37.6,38.7,30.8,25.0
83,2013,2013,RI,Rhode Island,Gender,Male,GEN,MALE,44,13.4,19.3,25.5,37.4,39.1,41.1,20.9,8.8
84,2007,2007,ME,Maine,Total,Total,OVR,OVERALL,23,11.6,10.9,22.0,23.2,36.8,42.0,23.2,32.0
86,2007,2007,ID,Idaho,Total,Total,OVR,OVERALL,16,9.8,6.5,17.5,20.9,35.5,46.7,19.1,19.0
89,2001,2001,US,National,Grade,9th,GRADE,GRADE09,59,14.5,13.2,23.5,28.1,35.1,36.1,29.1,22.6
90,2005,2005,GA,Georgia,Grade,11th,GRADE,GRADE11,13,18.1,16.8,38.3,46.4,41.4,46.7,24.3,30.4
94,2003,2003,AZ,Arizona,Grade,12th,GRADE,GRADE12,4,13.9,19.0,36.7,32.3,47.2,40.8,35.4,38.7
95,2009,2009,US,National,Grade,9th,GRADE,GRADE09,59,15.6,10.0,20.1,9.1,45.0,41.9,20.6,34.0
97,2017,2017,CA,California,Gender,Female,GEN,FEMALE,6,13.1,9.0,22.5,24.7,32.0,38.6,25.3,19.5
98,2005,2005,UT,Utah,Gender,Male,GEN,MALE,49,19.0,14.2,45.4,35.7,57.8,50.1,30.6,57.9
